Date,AAPL,GOOG,META,MSFT,QQQ,TSLA
2019-07-31,51.67405700683594,60.83399963378906,194.22999572753906,130.9767608642578,186.3959197998047,16.107332229614258
2019-08-01,50.55587387084961,60.45050048828125,192.72999572753906,132.6972198486328,185.4693145751953,15.59000015258789
2019-08-02,49.48619842529297,59.699501037597656,189.02000427246094,131.58229064941406,182.73825073242188,15.62266731262207
2019-08-05,46.89570999145508,57.61600112915039,181.72999572753906,127.07444763183594,176.2812042236328,15.221332550048828
2019-08-06,47.7834587097168,58.497501373291016,184.50999450683594,129.45811462402344,178.74891662597656,15.383333206176758
2019-08-07,48.27827453613281,58.699501037597656,185.14999389648438,130.02520751953125,179.71453857421875,15.561332702636719
2019-08-08,49.34309387207031,60.2400016784668,190.16000366210938,133.4949951171875,183.6258087158203,15.886667251586914
2019-08-09,48.93649673461914,59.4005012512207,187.85000610351562,132.36080932617188,181.89942932128906,15.667332649230957
2019-08-12,48.81230545043945,58.73550033569336,185.3699951171875,130.515380859375,179.81211853027344,15.267333030700684
2019-08-13,50.87944030761719,59.86349868774414,188.4499969482422,133.21621704101562,183.7526397705078,15.666666984558105
2019-08-14,49.36500930786133,58.214500427246094,179.7100067138672,129.2045135498047,178.26123046875,14.641332626342773
2019-08-15,49.11909866333008,58.362998962402344,182.58999633789062,128.9152069091797,178.05638122558594,14.37600040435791
2019-08-16,50.27804946899414,58.880001068115234,183.6999969482422,131.27789306640625,180.91424560546875,14.662667274475098
2019-08-19,51.215431213378906,59.92250061035156,186.1699981689453,133.47662353515625,183.79159545898438,15.121999740600586
2019-08-20,51.217872619628906,59.134498596191406,183.80999755859375,132.36756896972656,182.36761474609375,15.057332992553711
2019-08-21,51.77299880981445,59.5625,183.5500030517578,133.84304809570312,183.98670959472656,14.722000122070312
2019-08-22,51.72916793823242,59.47650146484375,182.0399932861328,132.86907958984375,183.39173889160156,14.8100004196167
2019-08-23,49.33822250366211,57.56449890136719,177.75,128.63552856445312,177.58819580078125,14.09333324432373
2019-08-26,50.275611877441406,58.44449996948242,180.36000061035156,130.62213134765625,180.2705078125,14.333333015441895
2019-08-27,49.708309173583984,58.391998291015625,181.3000030517578,130.90182495117188,179.89010620117188,14.272000312805176
2019-08-28,50.0418701171875,58.55099868774414,181.75999450683594,130.72821044921875,180.53390502929688,14.37266731262207
2019-08-29,50.88917922973633,59.64250183105469,185.57000732421875,133.19696044921875,183.29420471191406,14.780667304992676
2019-08-30,50.82343292236328,59.404998779296875,185.6699981689453,132.94622802734375,182.8552703857422,15.040666580200195
2019-09-03,50.083274841308594,58.419498443603516,182.38999938964844,131.1910858154297,181.08006286621094,15.000666618347168
2019-09-04,50.933006286621094,59.070499420166016,187.13999938964844,132.72442626953125,183.69410705566406,14.711999893188477
2019-09-05,51.9288215637207,60.569000244140625,190.89999389648438,135.0581512451172,187.05914306640625,15.305333137512207
2019-09-06,51.923954010009766,60.246498107910156,187.49000549316406,134.1420440673828,186.8738555908203,15.16333293914795
2019-09-09,52.1455192565918,60.22050094604492,188.75999450683594,132.61834716796875,186.4837188720703,15.452667236328125
2019-09-10,52.76152038574219,60.29999923706055,186.1699981689453,131.2296905517578,185.94725036621094,15.702667236328125
2019-09-11,54.43906784057617,61.00849914550781,188.49000549316406,131.2682342529297,187.6931610107422,16.47333335876465
2019-09-12,54.31734085083008,61.712501525878906,187.47000122070312,132.61834716796875,188.47349548339844,16.391332626342773
2019-09-13,53.26063919067383,61.97800064086914,187.19000244140625,132.42544555664062,187.8004608154297,16.34666633605957
2019-09-16,53.54064178466797,61.564998626708984,186.22000122070312,131.47076416015625,186.96163940429688,16.187332153320312
2019-09-17,53.73542022705078,61.45750045776367,188.0800018310547,132.49298095703125,187.85899353027344,16.319332122802734
2019-09-18,54.23942565917969,61.62049865722656,188.13999938964844,133.5826873779297,187.7809600830078,16.232667922973633
2019-09-19,53.79872512817383,61.93550109863281,190.13999938964844,136.0417938232422,188.0930938720703,16.440000534057617
2019-09-20,53.012290954589844,61.496498107910156,189.92999267578125,134.46990966796875,186.10330200195312,16.041332244873047
2019-09-23,53.25334930419922,61.701499938964844,186.82000732421875,134.18060302734375,186.1853790283203,16.082000732421875
2019-09-24,53.000118255615234,60.9379997253418,181.27999877929688,132.48333740234375,183.71267700195312,14.880666732788086
2019-09-25,53.81576919555664,62.32600021362305,182.8000030517578,134.39276123046875,185.77491760253906,15.24666690826416
2019-09-26,53.538211822509766,62.06949996948242,180.11000061035156,134.56631469726562,185.09075927734375,16.17066764831543
2019-09-27,53.27768325805664,61.25450134277344,177.10000610351562,132.82083129882812,182.7939910888672,16.142000198364258
2019-09-30,54.531593322753906,60.95000076293945,178.0800018310547,134.0745086669922,184.53366088867188,16.058000564575195
2019-10-01,54.68254089355469,60.255001068115234,175.80999755859375,132.18438720703125,183.02857971191406,16.312667846679688
2019-10-02,53.31177520751953,58.83150100708008,174.60000610351562,129.8506317138672,179.88150024414062,16.208667755126953
2019-10-03,53.7646484375,59.39149856567383,179.3800048828125,131.42250061035156,181.85572814941406,15.535332679748535
2019-10-04,55.27176284790039,60.45000076293945,180.4499969482422,133.19696044921875,184.53366088867188,15.428667068481445
2019-10-07,55.28394317626953,60.38399887084961,179.67999267578125,132.2325897216797,183.97662353515625,15.847999572753906
2019-10-08,54.63628387451172,59.45650100708008,177.75,130.83425903320312,181.22044372558594,16.003332138061523
2019-10-09,55.27663040161133,60.115501403808594,179.85000610351562,133.3126983642578,182.98947143554688,16.302000045776367
2019-10-10,56.021671295166016,60.43349838256836,180.02999877929688,134.1420440673828,184.40660095214844,16.31599998474121
2019-10-11,57.51176452636719,60.772499084472656,184.19000244140625,134.70132446289062,186.7816162109375,16.525999069213867
2019-10-14,57.4289665222168,60.856998443603516,183.27999877929688,134.5760040283203,186.76206970214844,17.130666732788086
2019-10-15,57.295066833496094,62.1505012512207,188.88999938964844,136.52398681640625,189.13702392578125,17.19266700744629
2019-10-16,57.063751220703125,62.18199920654297,189.5500030517578,135.4053497314453,188.66786193847656,17.316667556762695
2019-10-17,57.28532791137695,62.653499603271484,190.38999938964844,134.7110137939453,189.16632080078125,17.46466636657715
2019-10-18,57.560455322265625,62.27450180053711,185.85000610351562,132.51226806640625,187.3484649658203,17.1299991607666
2019-10-21,58.55870819091797,62.307498931884766,189.75999450683594,133.49591064453125,189.00991821289062,16.899999618530273
2019-10-22,58.4247932434082,62.13999938964844,182.33999633789062,131.5093231201172,187.50485229492188,17.038667678833008
2019-10-23,59.20879364013672,62.95650100708008,186.14999389648438,132.34832763671875,187.86643981933594,16.978666305541992
2019-10-24,59.30618667602539,63.04949951171875,186.3800048828125,134.95208740234375,189.694091796875,19.978666305541992
2019-10-25,60.036617279052734,63.256500244140625,187.88999938964844,135.71392822265625,191.20899963378906,21.875333786010742
2019-10-28,60.63800048828125,64.5,189.39999389648438,139.05064392089844,193.09532165527344,21.847333908081055
2019-10-29,59.235572814941406,63.13100051879883,189.30999755859375,137.73907470703125,191.5998992919922,21.08133316040039
2019-10-30,59.228271484375,63.06449890136719,188.25,139.4556427001953,192.52842712402344,21.000667572021484
2019-10-31,60.5673942565918,63.00550079345703,191.64999389648438,138.25982666015625,192.61636352539062,20.994667053222656
2019-11-01,62.286346435546875,63.6870002746582,193.6199951171875,138.59735107421875,194.36582946777344,20.887332916259766
2019-11-04,62.69538497924805,64.56849670410156,194.72000122070312,139.39776611328125,195.56796264648438,21.1646671295166
2019-11-05,62.60529708862305,64.60150146484375,194.32000732421875,139.31097412109375,195.6754608154297,21.148000717163086
2019-11-06,62.632076263427734,64.58999633789062,191.5500030517578,138.9252471923828,195.2357177734375,21.77199935913086
2019-11-07,63.354923248291016,65.44300079345703,190.4199981689453,139.1180877685547,195.89048767089844,22.369333267211914
2019-11-08,63.52833557128906,65.56849670410156,190.83999633789062,140.7575225830078,196.67237854003906,22.47599983215332
